tag_code,date,city_location,state_province,zip_pc,country,first_name,notes
AEZM732,2022-09-03T00:00:00Z,Morpeth,ON,,CAN,Elaine,The Monarch Butterfly was feeding on the nectar of a white flowering plant at Rondeau Provincial Park.
AEZN355,2022-09-14T00:00:00Z,Parma,OH,,USA,Tom,Found in west creek reservation Cleveland metroparks
AEZP891,2022-08-25T00:00:00Z,CAMBRIDGE,ON,,CAN,CHRISTINE,"Monarch was happily flying about with an untagged friend, visiting my zinnia flower garden"
AEZP896,2022-08-27T00:00:00Z,Cambridge,ON,,CAN,Christine,Butterfly was visiting my zinnias
AEZR200,2022-09-13T00:00:00Z,St. Thomas,ON,,CAN,Tatyana,NA
AEZR393,2022-10-28T00:00:00Z,Point Clear,AL,,USA,Brian,"Large male, was in good shape. Among ~80 others feeding on bottlebrush at the Grand Hotel in Point Clear, AL."
AEZR393,2022-10-31T00:00:00Z,Point Clear,AL,,USA,Mark,Feeding on red bottle brush bush at the Grand Hotel
AEZS116,2022-08-31T00:00:00Z,Cleveland,OH,,USA,Lisa,My back yard on my mexican sunflower plant
AEZT441,2022-08-14T00:00:00Z,Winnipeg,MB,,CAN,Heather,On my wildflowers in garden
AEZU591,2022-09-17T00:00:00Z,Sandusky,OH,,USA,NA,Found portion of wing with tag at cedar point beach
AEZW062,2022-09-25T00:00:00Z,Portland,ME,,USA,Ben,NA
AEZW852,2022-08-13T00:00:00Z,Southwest Harbor,ME,,USA,Luca,Found at Charlotte Rhoades Park - Butterfly Garden. Healthy female on Buddleia.
AEZW903,2022-09-02T00:00:00Z,Southwest Harbor,ME,,USA,Esther,Seen at Charlotte Rhodes Butterfly Garden / Park
AEZW916,2022-09-14T00:00:00Z,Southwest Harbor,ME,,USA,Wayne,"Charlotte Rhoades Butterfly Park, Southwest Harbor, Me"
AEZX533,2022-08-24T00:00:00Z,Islesboro,ME,,USA,Virginia,NA
AEZX563,2022-08-27T00:00:00Z,Searsport,ME,,USA,Phil,Searsport Shores Lot 53 in Peggy’garden
AEZX632,2022-09-11T00:00:00Z,Haverhill,MA,,USA,Robin,Found on Butterfly bush and zinnia garden
AEZY834,2022-09-08T00:00:00Z,Rosemount,MN,,USA,Stacy,I picked it up in the parking lot at school this was before students.
